"","NAME","Description","Status","Long","Lat","Elev","country","continent","city","pname","citiname","countryname"
"1","Legend - In Operation - January 2017","1,173 Cities - January 2017<br><br>Approximately 1,901,450 public use bicycles and pedelecs in use in these cities.<br>Pedelec: Electric assisted bicycle that must be pedaled for the assistance to engage","operation",-8.701172,-67.187,"0",NA,NA,"Legend","In Operation","Legend","Legend"
"2","Legend - In Planning or Under Construction - January 2017","365 Cities - January 2017","planning",6.679688,-67.067433,"0",NA,NA,"Legend","In Planning or Under Construction","Legend","Legend"
"3","Legend - No Longer Operating - January 2017","141 Cities - January 2017","stopped",20.742188,-67.204032,"0",NA,NA,"Legend","No Longer Operating","Legend","Legend"
"28","Algeciras-Cádiz, Spain - Tubici","Ends 2014<br>Launched 2008. <br>3 stations, 50 bikes.<br>","stopped",-5.447159,36.129002,"0",NA,NA,"Algeciras-Cádiz, Spain","Tubici","Algeciras-Cádiz","Spain"
"80","Athens, (Keratsini-Drapetsona District) Greece - EasyBike Keratsini-Drapetsona","Contract wends 2015<br>http://keratsini-drapetsona.easybike.gr/el/<br>CityBik,es Map (https://citybik.es/map/easybike-drapetsona)<br>70 Bikes in 6 Stations<br>Launch: March 22, 2013<br>Operator: EasyBike <br>Equipment EasyBike - CallLock <br>Source (http://eubooce.gr/2013/01/30/erxontai-ta-koinoxrista-podilata/)","stopped",23.625262,37.94726,"0",NA,NA,"Athens, (Keratsini-Drapetsona District) Greece","EasyBike Keratsini-Drapetsona","Athens","(Keratsini-Drapetsona District) Greece"
"120","Batumi, Georgia - Batumivelo","http://cli-velo-batumi.gir.fr/<br>CityBik.es Map (https://citybik.es/map/batumvelo)<br>120 bikes in 10 stations in 2011<br>Launched: July 2011<br>Operator: Batumi City Government<br>equipment<br>Smoove<br>Photo (http://www.facebook.com/photo.php?fbid=10150305141131823&set=a.87800971822.102951.8085941822&type=1&theater)","operation",41.646209,41.654894,"0",NA,NA,"Batumi, Georgia","Batumivelo","Batumi","Georgia"
"122","Bayonne, New Jersey USA","Considering in December 2016 a program to link with regional rail system Source: http://www.nj.com/hudson/index.ssf/2016/12/bayonne_council_to_consider_request_for_proposals.html","planning",-74.1082764,40.6721107,"0",NA,NA,"Bayonne, New Jersey USA","Bayonne, New Jersey USA","Bayonne","New Jersey USA"
"143","Benidorm, Finestrat, La Nucia, Villajoyosa and Alfas del Pi,  Spain - Bicidorm","http://bicidorm.labici.net/<br>CityBik.es Map (https://citybik.es/map/onroll-benidorm)<br>150 bikes in 20 stations<br>Launched 2011 50 bikes in 10 stations<br>New operator Impursa October 2014 (http://portal.benidorm.org/nuevociudadano/content/benidorm-invierte-50000-euros-para-relanzar-el-servicio-bicidorm-e-incorporar-150-nuevas-bic)<br>System: Onroll","operation",-0.127544,38.538767,"0",NA,NA,"Benidorm, Finestrat, La Nucia, Villajoyosa and Alfas del Pi,  Spain","Bicidorm","Benidorm"," Spain"
"166","Blackpool, England - Cycle Blackpool","Did not reopen in 2014 In negotiations to reopen Source (http://www.blackpoolgazette.co.uk/news/business/local-business/council-cycle-hire-scheme-scaled-back-after-losses-1-7264722)<br>www.hourbike.com (http://www.hourbike.com/mysitecaddy/site3/locukblackpool.htm)<br>OBrien Bike Share Map (http://bikes.oobrien.com/blackpool/)<br>33 stations <br>Launch: September 2009<br>Operator: Hourbike","stopped",-3.053427,53.814183,"0",NA,NA,"Blackpool, England","Cycle Blackpool","Blackpool","England"
"214","Cádiz (Universidad), Spain - Tubici","Tubici launched 2008. Ends 2014 3 stations, 50 bikes. GREEN POWER / ITCL","stopped",-6.292419,36.530329,"0",NA,NA,"Cádiz (Universidad), Spain","Tubici","Cádiz (Universidad)","Spain"
"227","Capo D'orlando, Italy - Biciclando","http://www.biciclando.info/home/<br>Did not open for 2016 Dispute between City and Operator<br>(http://www.98zero.com/83308-fine-bike-sharing-antonio-librizzi-comune-si-costituisce-la-t-m-r-non-avrebbe-responsabilita-sul-mancato-servizio.html)<br>40 bikes in 5 stations (10 pedelec) <br>Launched: July 4, 2012 <br>System enBici<br>Equipment: TMRtech<br>","stopped",14.742537,38.159464,"0",NA,NA,"Capo D'orlando, Italy","Biciclando","Capo D'orlando","Italy"
