"","NAME","Description","Status","Long","Lat","Elev","country","continent","city","pname","citiname","countryname"
"1","Legend - In Operation - January 2017","1,173 Cities - January 2017<br><br>Approximately 1,901,450 public use bicycles and pedelecs in use in these cities.<br>Pedelec: Electric assisted bicycle that must be pedaled for the assistance to engage","operation",-8.701172,-67.187,"0",NA,NA,"Legend","In Operation","Legend","Legend"
"2","Legend - In Planning or Under Construction - January 2017","365 Cities - January 2017","planning",6.679688,-67.067433,"0",NA,NA,"Legend","In Planning or Under Construction","Legend","Legend"
"3","Legend - No Longer Operating - January 2017","141 Cities - January 2017","stopped",20.742188,-67.204032,"0",NA,NA,"Legend","No Longer Operating","Legend","Legend"
"5","A Coruña, Spain - Bicicoruña","http://www.bicicoruna.es/<br>CityBik.es Map (https://citybik.es/map/bicicorunha)<br>150 bikes in 20 station<br>(150 in rotation - 300 total)<br>Operator: The Municipal Housing, Services and Activities Company (EMVSA)","operation",-8.396258,43.37227,"0","Spain","Europe","A Coruña, Spain","Bicicoruña","A Coruña","Spain"
"6","Aachen, Germany - Call a Bike","Call a Bike (http://www.callabike-interaktiv.de/index.php?id=150&f=500&tx_ttnews%5Btt_news%5D=98&tx_ttnews%5BbackPid%5D=139&cHash=7870523828)<br>15 pedelec bikes in 3 automatic stations<br>Launched: August 26, 2011<br>Operator: DB Rent","operation",6.092005,50.769199,"0","Germany","Europe","Aachen, Germany","Call a Bike","Aachen","Germany"
"7","Aalborg, Denmark - City Bikes","City Bikes<br> <br>170 bikes in 21 stations.<br><br> <br>http://www.aalborgbycyklen.dk/default.aspx?m=2&i=48<br> <br>Operator: City of Aalborg<br><br> <br>Coin Operated","operation",9.921341,57.043718,"0","Denmark","Europe","Aalborg, Denmark","City Bikes","Aalborg","Denmark"
"8","Aarhus, Denmark - Aarhus Bycykel","http://www.aarhusbycykel.dk/<br>450 bikes in 52 stations<br>Originally Launched May1, 2005<br>Relaunched: October 31, 2008 with Aarhusmedia<br>http://cibi.dk/<br>","operation",10.211792,56.157023,"0","Denmark","Europe","Aarhus, Denmark","Aarhus Bycykel","Aarhus","Denmark"
"9","Abu Dhabi, United Arab Emirates - ADCB Bikeshare","www.bikeshare.ae<br>O'Brien Bike Share Map: (http://bikes.oobrien.com/abudhabi)<br>CityBik.es Map (https://citybik.es/map/adcb-bikeshare)<br>75 bikes in 11 stations<br>Launch: December 28, 2014<br>Source: http://ow.ly/Gv8Wj & http://www.cyacle.ae/<br>Operator: Cyacle<br>Equipment: 8D","operation",54.6144104,24.498396,"0","United Arab Emirates","Asia","Abu Dhabi, United Arab Emirates","ADCB Bikeshare","Abu Dhabi","United Arab Emirates"
"10","Acquaviva delle Fonti, Italy - BiciViva","BiciViva<br>December 2014: System to be used for education and for international students (http://www.acquavivalive.it/news/Politica/342795/news.aspx)<br>70 bikes in 6 stations<br>Launched May 5, 2012<br>System: Bicincittà<br>(http://www.comune.acquaviva.ba.it/index.php/component/content/article/533)","stopped",16.843629,40.896614,"0","Italy","Europe","Acquaviva delle Fonti, Italy","BiciViva","Acquaviva delle Fonti","Italy"
"11","Agrigento, Sicily, Italy - ","80 pedelecs in 4 station project for 2016<br>Source: http://agrigento.gds.it/2016/09/05/mobilita-in-bicicletta-ad-agrigento-parte-il-progetto-bike-sharing_561096/","planning",13.5844445,37.3095261,"0","Italy","Europe","Agrigento, Sicily, Italy - ","Agrigento, Sicily, Italy - ","Agrigento","Italy - "
"12","Adelaide, South Australia, Australia","June 2016 advocacy for 1,000 bike system<br>Source: http://www.adelaidenow.com.au/messenger/east-hills/bike-sas-grand-vision-for-adelaide-the-states-peak-recreational-cycling-body-outlines-its-priorities/news-story/05750cdfcd68430e2166fd6836d60ddc","planning",138.6048889,-34.921971,"0","Australia","Australia","Adelaide, South Australia, Australia","Adelaide, South Australia, Australia","Adelaide","Australia"
"13","Ahmedabad, Gujarat India - MYBYK","www.mybyk.in (http://www.mybyk.in/)<br>1000 bikes in 4 hubs non station based<br>Pilot testing May 12, 2014<br>Launch scheduled: June 5, 2014","planning",72.58564,23.032031,"0","India","Asia","Ahmedabad, Gujarat India","MYBYK","Ahmedabad","Gujarat India"
